"","lower","r","upper","p"
"Ech-Vacc",-0.734420681780787,-0.061656744848664,0.67222281206459,0.884686258584864
"VA-Vacc",-0.7074509552844,-0.00553967328615521,0.701873127657152,0.989613325088232
"aOn-Vacc",-0.651687984754529,0.0979799878818864,0.75081384180851,0.817459905888772
"TT-Vacc",-0.851433541039799,-0.366885174606561,0.455567452567335,0.37132812879921
"DPA-Vacc",-0.874266754689651,-0.441733545682483,0.381778507487801,0.273185970863135
"PC-Vacc",-0.8357053786602,-0.318735387060936,0.497729728064526,0.44161383082099
"PAA-Vacc",-0.820129498980029,-0.175398264675336,0.665571976117728,0.706793751562904
"FC-Vacc",-0.840049703609034,-0.0895163778671409,0.778609331666906,0.866084088709017
"IG-Vacc",-0.364904289515297,0.457377976848677,0.878809086119086,0.254511572981182
"CA1-Vacc",-0.932001428334167,-0.662294508678093,0.0794646542096849,0.0735444223840711
"CA2-Vacc",-0.278408432193381,0.53030298759998,0.899020720020151,0.176370282074201
"CA3-Vacc",-0.397625095062414,0.426571233106441,0.86979092426847,0.291907672178705
"DG-Vacc",-0.69697477447485,0.015128213450137,0.712208682200053,0.971638927341257
"proSb-Vacc",-0.431620295234023,0.476228977787466,0.904800285604276,0.279997656296434
"Sub-Vacc",-0.476031627207105,0.344052564465829,0.844082346656891,0.404001430875772
"Clst-Vacc",-0.777993597475099,-0.162296822850391,0.612415754418658,0.700994906394528
