SS,MS,SC,MC,HC
MGC = 0.04000690842429068,dLGC = 0.0817893510737288,RE = 0.07856553895050462,IL = 0.057098849046464215,MPO = 0.03919529012893929
SON = 0.039769819203226885,PCn = 0.08064465234983424,AMn = 0.07797533074335443,RT = 0.056069167065952795,IADT = 0.03888411887066092
SMN = 0.03976981920322688,VTA = 0.07909874448396643,NACC.CORE = 0.0778918051687954,RS = 0.055875148151545005,LSN = 0.03781247353577701
IL = 0.03974850198465588,AVPO = 0.07907067273118609,SMN = 0.0759099719583319,LHb = 0.05524249412700075,VPMT = 0.03765664159605916
lpEC = 0.039734921081738615,STN = 0.0789986182225309,LPT = 0.07590910509190885,dLGC = 0.05443341262408332,TeAA = 0.03761893243042407
AA = 0.03964210123560252,VMHn = 0.07886280460827184,RS = 0.07565863950480692,vEPn = 0.0542144989267805,PC = 0.03727991952074758
PreCN = 0.039303076242870105,OT = 0.07849564484904847,SON = 0.0755026386932922,ArH = 0.05285157633430823,vlLGC = 0.0370909600826343
RE = 0.03922419690172661,IG = 0.07843192015916044,ArH = 0.0755026386932922,DLS = 0.05281408612512011,VMHn = 0.036448945747732595
SCN = 0.03917234307981452,MGC = 0.07841598533188145,EnT = 0.07480496167413786,Rh = 0.052401846273597556,DMH = 0.03544968860698587
CA3 = 0.03916922546062148,SON = 0.07823248549694023,MPO = 0.0747548776053545,AuA = 0.05235746766458209,AA = 0.03542940105708169
SCO = 0.039127222046368954,aAA = 0.07818728480332268,IL = 0.07472894753103758,PAA = 0.051739324924414305,TT = 0.034967890892232914
LHA = 0.03898378588951574,SMN = 0.07792062146013438,VTA = 0.07465924470514806,TeAA = 0.05154642470538275,EnT = 0.034223372807112275
vlLGC = 0.03898378588951574,ArH = 0.07789667716580961,dLGC = 0.07456883651727392,pRE = 0.05029911490821171,AVPO = 0.03392903183493748
CA2 = 0.03868980334363297,Vacc = 0.07780141986698044,STN = 0.07411058635707206,PAG = 0.04966168245780729,AU = 0.03375077803000122
IAn = 0.03847216244291572,FC = 0.07778566944787578,AA = 0.0740587572633091,XiT = 0.04925962524372938,Ech = 0.03361683784372376
STN = 0.03792959722121842,Sub = 0.07770306282814932,ADPO = 0.07405255916045948,AVPO = 0.049214082505119036,ArH = 0.03349159043547317
LPT = 0.037913455130731015,Prh = 0.077684435844274,reSN = 0.073992466389828,SPZ = 0.047104316428882416,aAA = 0.03253180090499619
CA = 0.037710550783964666,IGLLGC = 0.07763080358288983,MPA = 0.07392826854972773,SON = 0.04704286492518491,MHb = 0.03221909082016485
dEPn = 0.037673308481485944,LAn = 0.07758204003764246,CMT = 0.07391474721167457,reSN = 0.046951357784502414,vEPn = 0.03208685165394774
NACC.CORE = 0.03747302367561332,OA = 0.07448074531144254,vlLGC = 0.07389030513917812,ZI = 0.04642121208619237,ADPO = 0.03134573419377421
TT = 0.03739320670166654,MGCn = 0.07406143690462362,PVH = 0.0738903051391781,Gpe = 0.046265776409661924,XiT = 0.03101873622581975
IPVH = 0.037176275887295135,BNST = 0.07319973320925266,cSN = 0.07370182966857487,Ech = 0.04616556941964279,PVT = 0.029100418785442454
