SS,MS,SC,MC,HC
IPVH = 0.0,CCA = 0.0,VALCT = 0.0,IL = 0.0,Gpe = 0.0031268178613701016
LHb = 0.0,IAn = 0.0,VMT = 0.0,Ech = 0.0,pRE = 0.0027681825934297672
subGn = 0.0,OT = 0.0,dLGC = 0.0,CCA = 0.0,VPMT = 0.0024554973337990054
IGLLGC = 0.0,MGCn = 0.0,LPT = 0.0,CA = 0.0,proSub = 0.002447008933866795
pRE = 0.0,BNST = 0.0,EnT = 0.0,MAn = 0.0,PAA = 0.0016019009359316983
dLGC = 0.0,VPLT = 0.0,AVT = 0.0,DLS = 0.0,CA1 = 0.0015586829241367426
TnS = 0.0,dLGC = 0.0,IADT = 0.0,Rh = 0.0,Sub = 0.0014998878687451525
Gpi = 0.0,pRE = 0.0,MDT = 0.0,SON = 0.0,PHn = 0.0014725817094258862
Gpe = 0.0,PVT = 0.0,RE = 0.0,ArH = 0.0,NACC.SHELL = 0.0010241574706224077
FStr = 0.0,PT = 0.0,XiT = 0.0,AVPO = 0.0,aOn = 0.0007978286218250737
NACC.CORE = 0.0,IGLLGC = 0.0,RT = 0.0,FF = 0.0,OT = 0.0007243745943337981
DLS = 0.0,SCN = 0.0,vlLGC = 0.0,reSN = 0.0,CMT = 0.0006027252328557386
CA = 0.0,TN = 0.0,SON = 0.0,,VALCT = 0.00035095532890747235
BLA = 0.0,,PVH = 0.0,,CA3 = 0.00033728081444769746
dEPn = 0.0,,ArH = 0.0,,PSTN = 0.00011374238183514473
proSub = 0.0,,PSN = 0.0,,vEPn = 4.8314007730241244e-05
PC = 0.0,,SMN = 0.0,,PSN = 2.6656004264960682e-05
TeAA = 0.0,,VMHn = 0.0,,cSN = 0.0
RS = 0.0,,TN = 0.0,,SPZ = 0.0
OA = 0.0,,VTA = 0.0,,CA = 0.0
,,,,LAn = 0.0
,,,,TT = 0.0
,,,,Vacc = 0.0
