,,,,,,,,,,Latency to the platform (s),,,,,,,,,,,,,,,,,,,,,,,,,,Path lenght to the platform (m),,,,,,,,,,,,,,,,,,,,,,,,,,Mean speed (m/s),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAME,ANIMAL ID,CAGE,DATE OF BIRTH,BEHAVIOUR TASK,AGE,PROTOCOL,POSITION PLATFORM ,NOTE ,,S1 Trial 1,S1 Trial 2,S1 Trial 3,S1 Mean,S2 Trial 1,S2 Trial 2,S2 Trial 3,S2 Mean,S3 Trial 1,S3 Trial 2,S3 Trial 3,S3 Mean,S4 Trial 1,S4 Trial 2,S4 Trial 3,S4 Mean,S5 Trial 1,S5 Trial 2,S5 Trial 3,S5 Mean,S6 Trial 1,S6 Trial 2,S6 Trial 3,S6 Mean,,,S1 Trial 1,S1 Trial 2,S1 Trial 3,S1 Mean,S2 Trial 1,S2 Trial 2,S2 Trial 3,S2 Mean,S3 Trial 1,S3 Trial 2,S3 Trial 3,S3 Mean,S4 Trial 1,S4 Trial 2,S4 Trial 3,S4 Mean,S5 Trial 1,S5 Trial 2,S5 Trial 3,S5 Mean,S6 Trial 1,S6 Trial 2,S6 Trial 3,S6 Mean,,,S1 Trial 1,S1 Trial 2,S1 Trial 3,S1 Mean,S2 Trial 1,S2 Trial 2,S2 Trial 3,S2 Mean,S3 Trial 1,S3 Trial 2,S3 Trial 3,S3 Mean,S4 Trial 1,S4 Trial 2,S4 Trial 3,S4 Mean,S5 Trial 1,S5 Trial 2,S5 Trial 3,S5 Mean,S6 Trial 1,S6 Trial 2,S6 Trial 3,S6 Mean
F34,3,#115,9/4/2019,11/21/2019,11 weeks,SPACED SPATIAL,,,,5.1,14.9,45.6,21.87,6.3,30.9,60,32.4,7.8,13.8,6.5,9.37,4.4,5.5,8,5.97,6.7,6.3,5.8,6.27,6.8,3,4.4,4.73,,,0.78,4.69,11.05,5.51,0.65,6.83,11.61,6.36,1.85,3.4,1.32,2.19,0.79,0.65,1.85,1.1,1.37,1.18,0.85,1.13,1.44,0.41,0.66,0.84,,,0.15,0.31,0.24,0.24,0.1,0.22,0.19,0.17,0.24,0.25,0.2,0.23,0.18,0.12,0.23,0.18,0.21,0.19,0.15,0.18,0.21,0.14,0.15,0.17
F55,1,#52,12/12/2019,3/5/2020,12 wks,SPACED SPATIAL,NORTH,,,2.9,6.6,60,23.17,42.1,6.2,6.6,18.3,5,60,10.3,25.1,10,4.6,5.7,6.77,4.9,3.9,3.5,4.1,4.7,4.9,5.5,5.03,,,0.25,1.84,11.61,4.57,8.33,1.26,1.25,3.61,1.19,16.32,2.65,6.72,2.61,0.56,1.22,1.46,1.09,0.83,0.21,0.71,0.95,1.09,1.17,1.07,,,0.09,0.28,0.19,0.19,0.2,0.2,0.19,0.2,0.24,0.27,0.26,0.26,0.26,0.12,0.21,0.2,0.22,0.21,0.06,0.16,0.2,0.22,0.21,0.21
F57,3,#52,12/12/2019,3/5/2020,12 wks,SPACED SPATIAL,NORTH,,,7.2,18.1,50.7,25.33,10.1,35.5,21.3,22.3,11,10.9,8,9.97,5,4.2,3.2,4.13,18.3,13.4,10.8,14.17,18.7,4,5.9,9.53,,,2.25,5.4,13.68,7.11,3.27,8.51,5.76,5.85,2.86,2.78,2.07,2.57,1.13,0.41,0.11,0.55,5.25,2.89,2.6,3.58,4.15,0.25,1.56,1.98,,,0.31,0.3,0.27,0.29,0.32,0.24,0.27,0.28,0.26,0.26,0.26,0.26,0.22,0.1,0.03,0.12,0.29,0.23,0.24,0.25,0.22,0.06,0.27,0.18
F70,5,#59,12/27/2019,3/9/2020,11 wks,SPACED SPATIAL,EAST,,,9.9,32.6,40,27.5,14.5,4.4,3.9,7.6,10.4,15.4,4.6,10.13,10.2,9,17.3,12.17,6.3,13,16.6,11.97,11.6,6.6,4.5,7.57,,,1.99,7.51,8.99,6.16,3.48,0.36,0.55,1.47,2.68,3.75,0.28,2.23,2.03,1.81,4.23,2.69,1.69,2.72,3.09,2.5,2.85,1.51,0.55,1.64,,,0.2,0.23,0.22,0.22,0.24,0.08,0.14,0.15,0.26,0.24,0.06,0.19,0.2,0.2,0.24,0.22,0.27,0.21,0.19,0.22,0.25,0.23,0.12,0.2
F71,6,#59,12/27/2019,3/9/2020,11 wks,SPACED SPATIAL,EAST,,,31.1,8.3,12.8,17.4,5.9,18.2,10.5,11.53,18.4,4.6,4.7,9.23,24.4,5.7,13.3,14.47,3.3,5.8,6.9,5.33,4.8,3.9,3.9,4.2,,,6.87,1.27,2.43,3.52,1.03,3.45,1.89,2.12,4.57,0.92,0.52,2,5,1.11,2.92,3.01,0.4,0.84,1.38,0.87,1.02,0.86,0.43,0.77,,,0.22,0.15,0.19,0.19,0.17,0.19,0.18,0.18,0.25,0.2,0.11,0.19,0.2,0.19,0.22,0.21,0.12,0.14,0.2,0.16,0.22,0.22,0.11,0.18
F92,1,#209,11/23/2020,3/24/2021,18 weeks,MASSED CUE,N-E-S-N-E-S,,,11.8,9.2,6.6,9.2,4.5,28,11.7,14.73333333,5.9,10.8,4.9,7.2,4.1,6.5,5,5.2,17.6,7.9,3.8,9.766666667,11.9,10.3,6.1,9.433333333,,,2.261,1.908,1.328,1.832333333,0.746,5.962,2.624,3.110666667,4.139,3.559,1.745,3.147666667,2.59,0.984,0.964,1.512666667,3.377,2.264,0.526,2.055666667,3.066,3.085,2.289,2.813333333,,,0.192,0.208,0.201,0.200333333,0.164,0.213,0.225,0.200666667,0.705,0.329,0.358,0.464,0.636,0.151,0.191,0.326,0.192,0.288,0.14,0.206666667,0.258,0.299,0.374,0.310333333
F93,2,#209,11/23/2020,3/24/2021,18 weeks,MASSED CUE,N-E-S-N-E-S,,,60,27.4,37.6,41.66666667,4.6,10.7,4.3,6.533333333,6.1,7.5,4.5,6.033333333,7.9,4.6,8.3,6.933333333,7.9,6.4,9.5,7.933333333,3.4,4,9.8,5.733333333,,,11.648,5.149,7.262,8.019666667,0.707,1.917,0.506,1.043333333,1.077,1.422,0.757,1.085333333,1.137,0.364,1.758,1.086333333,1.292,1.243,1.445,1.326666667,0.474,1.685,1.641,1.266666667,,,0.194,0.188,0.193,0.191666667,0.152,0.179,0.117,0.149333333,0.177,0.189,0.17,0.178666667,0.145,0.079,0.211,0.145,0.164,0.195,0.152,0.170333333,0.14,0.416,0.167,0.241
F94,3,#209,11/23/2020,3/24/2021,18 weeks,MASSED CUE,N-E-S-N-E-S,,,44.1,43.4,13.8,33.76666667,10.6,34.9,12.7,19.4,41.1,25.2,5,23.76666667,8.1,3,8.5,6.533333333,15.5,51.4,7.1,24.66666667,6.6,5.5,3.9,5.333333333,,,9.654,9.577,2.524,7.251666667,2.869,5.562,2.6,3.677,8.918,5.243,0.887,5.016,1.588,0.421,1.613,1.207333333,3.034,14.151,1.2,6.128333333,2.493,4.115,2.597,3.068333333,,,0.219,0.221,0.182,0.207333333,0.27,0.159,0.205,0.211333333,0.217,0.208,0.176,0.200333333,0.196,0.139,0.19,0.175,0.195,0.275,0.168,0.212666667,0.377,0.743,0.665,0.595
F106,1,#211B,12/4/2020,3/24/2021,16 weeks,MASSED CUE,N-E-S-N-E-S,,,15.5,9.3,6.3,10.36666667,15.9,14.3,6,12.06666667,22.9,5.7,4.9,11.16666667,8.5,10.3,4.4,7.733333333,5.8,4.2,3.2,4.4,4.2,8.7,4.7,5.866666667,,,3.041,1.793,1.254,2.029333333,4.604,3.96,1.223,3.262333333,5.186,2.264,1.542,2.997333333,1.715,2.396,0.398,1.503,1.791,0.395,0.479,0.888333333,0.729,2.041,1.73,1.5,,,0.197,0.192,0.2,0.196333333,0.289,0.276,0.204,0.256333333,0.226,0.397,0.312,0.311666667,0.202,0.232,0.09,0.174666667,0.31,0.095,0.149,0.184666667,0.175,0.233,0.365,0.257666667
F107,2,#211B,12/4/2020,3/24/2021,16 weeks,MASSED CUE,N-E-S-N-E-S,,,8.4,8.5,4.5,7.133333333,4.4,3.4,3.4,3.733333333,4.7,8.6,2.1,5.133333333,7.1,14.3,4.7,8.7,6.2,3.5,3,4.233333333,7,7.2,4.6,6.266666667,,,1.428,1.836,0.667,1.310333333,3.155,0.52,0.282,1.319,0.938,2.195,0.108,1.080333333,1.65,3.32,0.494,1.821333333,1.181,0.211,0.355,0.582333333,4.032,2.851,2.108,2.997,,,0.171,0.217,0.148,0.178666667,0.714,0.154,0.082,0.316666667,0.2,0.255,0.051,0.168666667,0.231,0.232,0.106,0.189666667,0.191,0.06,0.119,0.123333333,0.573,0.398,0.454,0.475
