,HC1,HC2,HC3,HC4,HC5,HC6,HC7,HC8,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8,MS1,MS2,MS3,MS4,MS5,MS6,MS7,MS8,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,MC1,MC2,MC3,MC4,MC5,MC6,MC7,MC8
PCT,4.49E-06,0.000252409,0.000101248,3.68E-05,9.91E-05,5.88E-05,2.23E-05,0.000243942,0.000160602,0.000347807,5.20E-05,0.000353011,0.000155554,0.000506489,9.30E-05,1.22E-05,9.97E-05,0.000101977,0.000127709,2.06E-05,0.000242407,0.000271882,0.000206214,NA,3.85E-05,2.04E-05,4.78E-05,0.000118154,0.000228778,0.000193584,3.94E-05,0.000109142,5.83E-05,0.000117165,0.000157376,0.000133493,0.000168834,0.00093979,0.002330211,4.48E-05
PlnT,0.000181409,0.000770491,0.000243618,0.000121061,0.000381357,0.000186276,0.000192758,0.000152961,0.000130191,0.000327434,0.000166825,0.000465624,0.00027771,0.000821993,0.000324267,0.000311102,0.000438048,0.000607638,0.000406725,0.000302505,0.000420427,0.00034443,0.000586531,0.000744835,0.000264087,0.000195151,0.000335645,0.000328485,0.000542362,0.00033541,NA,0.000387833,0.000463185,0.000350513,0.000228855,0.000279793,0.000573331,0.000706283,0.001963576,0.000279931
EnT,6.73E-05,0.000446411,0.000177529,5.84E-05,0.000232569,8.25E-05,4.82E-05,0.000193056,0.000122465,0.000327484,0.000128069,0.000420115,0.000204624,0.000677442,0.000128332,5.39E-05,0.000156469,0.00035922,0.000311394,0.000110852,0.000342412,0.000409876,0.000668662,0.001054142,0.000107389,2.87E-05,9.26E-05,0.000200055,0.000388503,0.000162756,8.98E-05,0.000311029,0.000303995,0.000347427,0.00018127,0.00021875,0.000241336,0.000947268,0.00240751,0.000218795
AVT,0.000281458,0.000577691,0.000236299,0.000201907,0.000395681,0.000181862,0.000396044,0.00050437,0.000384001,0.000413134,0.000332201,0.000183724,0.000215055,0.000665356,0.000352101,0.000277563,0.000441636,0.000333689,0.000448864,0.000340397,0.000454627,NA,0.000629307,0.000804165,0.00025078,0.000234563,7.15E-05,0.000379105,0.000432513,0.000260707,0.000295793,0.000347068,0.00043647,0.00044812,0.000321026,0.000392097,0.000303646,0.00103802,0.001353345,0.000286653
AMn,0.000404517,0.000712191,0.000364135,0.000516423,0.000824742,0.000319074,0.000284564,0.000456401,0.000463298,0.000489975,0.000369821,0.000427748,0.000178793,0.000795392,0.000414027,0.000536017,0.000522849,0.00061961,0.000771803,0.000605076,0.000531402,0,0.000858209,0.001120107,0.000519362,0.000421864,0.000234158,0.000533159,0.000570815,0.00047528,0.000466737,0.000496246,0.000783018,0.000680231,0.000411549,0.000457932,0.000564983,0.001600428,0.002026111,0.000901312
IADT,0.000466426,0.000375632,0.000277304,0.000660573,0.000599889,0.000573599,0.000246328,0.000485271,0.000529183,0.000581775,0.000345197,0.000344658,0.000297224,0.001065489,0.00044178,0.000400316,0.000815304,0.001154022,0.000905621,0.000440361,0.000504021,NA,0.000896584,0.001726573,0.000650083,0.00019767,0.00081654,0.001239363,0.000662467,0.000637567,0.000451154,0.00046238,0.000931895,0.00094783,0.000312266,0.000458304,0.000889479,NA,0.001882872,0.001100763
IMDT,0.000360134,0.000977497,0.000907706,0.000690603,0.000729521,0.000315128,0.00043211,0.0006039,0.000416248,0.000833655,0.000602043,0.000973801,0.000296855,0.001086157,0.000522596,0.000586644,0.001121419,0.00135579,0.000897644,0.000685662,0.000938328,0.000987734,0.001336155,0.001800726,0.000645341,0.000542538,0.000663797,0.001312769,0.000912415,0.000334682,0.000516256,0.000859556,0.001068151,0.001168337,NA,0.00086364,0.000977563,0.002080459,0.002409842,0.001199859
MDT,0.000210453,0.000592483,0.000274993,0.00040379,0.000351204,0.000191868,0.000260402,0.000404532,0.000353181,0.00065109,0.000322594,0.0004509,0.000180467,0.000673256,0.000299397,0.000285019,0.000534079,0.00073207,0.000804027,0.000255539,0.00046607,0.000515887,0.00077628,0.001189944,0.00035764,0.000286447,0.000258951,0.000649911,0.000369654,0.000265171,0.000258848,0.000390029,0.000451721,0.000588236,0.000444001,0.000396244,0.000441692,0.001188401,0.002031167,0.000540522
SMT,6.66E-05,0.000270875,0.000163135,0.000256076,0.000126155,8.95E-05,0.000106487,0.000376458,0.000301746,0.000408385,0.000142664,0.00025976,0.000142785,0.000619576,0.000105978,6.28E-05,0.000454957,0.000453444,0.000526909,2.47E-05,0.000360202,NA,0.000491881,NA,0.000168048,0.000139427,0.000271185,0.000532888,0.000267517,0.000137587,0.000117623,0.000254135,0.00026801,0.000318443,NA,0.000218426,0.000480112,0.001226273,0.001824081,0.000299574
pRE ,0.000563133,0.00095813,0.000819373,0.000861298,0.000788398,0.00056407,0.001053617,0.000401603,0.000383204,0.000597721,0.000395212,0.000879938,0.000167047,0.000694665,0.000869217,0.000644913,0.001177328,0.001338783,0.000468146,0.000227707,0.001430739,NA,0.001122912,NA,0.000593163,0.000728748,0.0003162,0.000594898,0.000621366,0.000267196,0.000720153,0.000684731,0.001317119,0.000870265,NA,0.000798821,0.000314021,0.001653962,0.002128293,0.001194758
