,HC1,HC2,HC3,HC4,HC5,HC6,HC7,HC8,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8,MS1,MS2,MS3,MS4,MS5,MS6,MS7,MS8,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,MC1,MC2,MC3,MC4,MC5,MC6,MC7,MC8
FP,0,0.000474399,0.000712493,0.000304126,0.000485844,0.000141011,0.000240581,NA,0.00139796,0.001238019,0.000413948,0.00043513,0.000473452,0.000870961,0.000294461,0.000294636,0.001335072,NA,0.000947751,0.000630693,0.002436613,0.001370818,0.000522737,0.001592153,0.000468101,0.000480264,0.001019258,0.001573806,0.001491943,0.000774817,0.000736615,0.000731196,0.000894502,0.001282785,0.000562309,0.000231418,0.00143662,0.00174637,0.002502731,0.000738641
M1,0.000178411,0.000580745,0.000592611,0.000339581,0.000663748,5.86E-05,0.000130165,0.000340731,0.00081656,0.000709115,0.000505437,0.00107946,0.000327879,0.001158047,0.000257619,0.000614331,0.000969328,0.000694021,0.00083684,0.000597126,0.001705397,0.001259392,0.000720181,0.001085377,0.000484096,0.000348284,0.000624772,0.001551409,0.001081342,0.000891548,0.000683339,0.00053039,0.000893405,0.001076119,0.000315035,0.00034219,0.001487941,0.00180125,0.002166774,0.000740715
M2,0.000137103,0.000496209,0.000563559,0.00027877,0.000711478,0.000106907,0.000236081,0.000338214,0.000910494,0.000802708,0.000427216,0.00071088,0.000337079,0.000981638,0.000312332,0.000665146,0.001073453,0.000709473,0.000728179,0.000615573,0.00173596,0.001182386,0.000583888,0.001188072,0.00049708,0.000402584,0.000585953,0.001315795,0.001084622,0.000961374,0.000731507,0.000535356,0.000920545,0.001098356,0.000426344,0.00033753,0.001232044,0.001702985,0.002142529,0.000646361
S1,0.000120586,0.000961846,0.001242109,0.000687338,0.001113037,0.000119841,0.000247589,0.000372003,0.000738539,0.000897565,0.000765354,0.001614189,0.000310421,0.001788991,0.000502635,0.000996051,0.001472287,0.001042045,0.001229704,0.00063601,0.002249009,0.001638381,0.00131326,0.001899497,0.000907441,0.000788894,0.000785677,0.001814969,0.001686692,0.001038645,0.001150051,0.000674796,0.001532251,0.001700673,0.000347278,0.000465907,0.001568288,0.002299682,0.002379603,0.001094417
SS,0.000207683,0.001007529,0.00110232,0.000554608,0.001065504,0.000108787,0.000187376,0.000318891,0.00064191,0.000787501,0.000636668,0.001579343,0.00031854,0.001541253,0.000471479,0.000815911,0.001133741,0.001073822,0.00109863,0.000498944,0.002059289,0.001506328,0.000966372,0.001211308,0.00074302,0.000648043,0.000738072,0.001450295,0.001481858,0.000760478,0.000944681,0.000570294,0.00110667,0.001356975,0.000303566,0.00050168,0.001527393,0.002046831,0.002207157,0.000756846
GA,0.000167016,0.000569431,0.000628445,0.000301734,0.000626065,0.000118095,0.000125244,0.000294915,0.000592521,0.000590116,0.000439358,0.000844568,0.000306149,0.000802865,0.000359876,0.000613393,0.000811483,0.000652858,0.000858433,0.000608866,0.001535186,0.0009769,0.000445821,0.000734849,0.000557395,0.000469172,0.000440403,0.001068909,0.000808117,0.000476737,0.000628569,0.000374413,0.001022884,0.001023754,0.000425875,0.000399311,0.001053395,0.001558007,0.001817007,0.000797534
VA,0.000231094,0.000590318,0.000706854,0.000364085,0.000719461,0.000163011,0.000129441,0.000275316,0.00051822,0.000628959,0.000537215,0.000991554,0.000271753,0.000749432,0.000330092,0.000529119,0.000807083,0.00079006,0.000729241,0.000412497,0.001667441,0.001213945,0.000482,0.000703774,0.000412805,0.000332302,0.000523299,0.001089365,0.001148898,0.000443075,0.000675828,0.000448708,0.000821435,0.001022565,0.00031009,0.000417137,0.001146935,0.001723411,0.001683865,0.000616832
AuA,0.000298505,0.000837757,0.000637248,0.000520158,0.000914004,0.000162473,0.000196226,0.000266423,0.000348187,0.000443258,0.000496706,0.001213361,0.000345341,0.000851186,0.000494975,0.000932948,0.001348376,0.001272482,0.001011683,0.000756226,0.001773316,0.00145016,0.000986026,0.001727595,0.000556509,0.000604102,0.000551607,0.00083557,0.000692485,0.000339448,0.000858221,0.00068956,0.000971944,0.001282291,0.000488539,0.000311631,0.000859875,0.001492811,0.002144678,0.000812958
ViA,0.000202964,0.000863201,0.001339306,0.000582761,0.000995054,0.000298216,0.000363525,0.000266911,0.000654817,0.000814714,0.000784195,0.001405731,0.000283092,0.001187181,0.000810378,0.001505021,0.001550498,0.001538643,0.001707852,0.001023882,0.002107068,0.002222861,0.001626863,0.002784271,0.000839114,0.000824496,0.000970013,0.001265177,0.000975091,0.000812261,0.001059701,0.001213814,0.00159089,0.001489887,0.000419342,0.000368373,0.001308883,0.00266253,0.002540368,0.001164631
dACC,0.000134536,0.000419297,0.00050468,0.000404052,0.000807083,0.000154571,0.000311197,0.000339624,0.000758618,0.00083554,0.000583113,0.000449169,0.00029977,0.000834442,0.000653997,0.000975411,0.001392811,0.000939786,0.000892944,0.000922057,0.001916804,0.001425214,0.001033138,0.001335952,0.000682947,0.000717394,0.000483,0.001069012,0.000906527,0.000950341,0.001050551,0.000640976,0.001277147,0.00130346,0.000725583,0.000593773,0.0010429,0.001553623,0.002048961,0.001007939
Vacc,0.000210697,0.000427811,0.000469597,0.000516647,0.000746854,0.00023825,0.000488414,0.000349245,0.000731892,0.000783504,0.000725384,0.000396498,0.000369889,0.000808249,0.000994123,0.000993057,0.001327857,0.000933402,0.000791201,0.00093436,0.001660602,0.001352558,0.001233623,0.001636456,0.000780938,0.000790352,0.000521994,0.001039932,0.000775961,0.000864215,0.000929857,0.000711453,0.001252323,0.001412337,0.000745857,0.000643097,0.000986854,0.001506037,0.001740613,0.001033314
PL,0.000368595,0.000476512,0.000444413,0.000446599,0.000829118,0.000219788,0.000502674,NA,0.000943443,0.000969475,0.000632996,0.000564563,0.000331812,0.000664613,0.000755219,0.000974151,0.001360068,0.001222886,0.001200389,0.00100056,0.002154019,0.001388218,0.000930788,0.001475203,0.000795903,0.000779076,0.000893433,0.001498177,0.000996762,0.000944721,0.001104243,0.000589686,0.001384196,0.001720235,0.000802721,0.00055941,0.001369398,0.001636759,0.001951754,0.001324371
IL,0.000585641,0.000584423,0.000441848,0.000550787,0.000795042,0.000300776,0.000667955,NA,0.001043268,0.000979805,0.00089853,0.000568173,0.000350138,0.000556189,0.000773475,0.000822386,0.001145298,0.00134472,0.001105775,0.000972594,0.002050862,0.001156577,0.000761101,0.001302381,0.000814919,0.000739974,0.000952932,0.001272951,0.000853134,0.00085175,0.000954942,0.000448025,0.000970372,0.001583244,0.000853344,0.000432162,0.001235577,0.001683243,0.001637474,0.001281816
OA,0.000213032,0.000813036,0.000802613,0.000632942,0.000625449,0.000200866,0.00030293,NA,0.001351915,0.001272352,0.000665477,0.000731748,0.000581548,0.001095047,0.000524068,0.000705125,0.001658996,0.001018446,0.00130419,0.00084143,0.001891617,0.002089539,0.000822301,0.002330138,0.000748603,0.000564523,0.000751571,0.001478601,0.001296974,0.000864204,0.001105934,0.000740011,0.001674201,0.001544352,0.000551547,0.000217098,0.001374505,0.002408848,0.002443158,0.000789105
AU,0.000207059,0.000481703,0.000514432,0.000321797,0.000555574,0.00017106,0.000175594,0.000304997,0.000673007,0.000737333,0.000456462,0.000531443,0.000285114,0.000602048,0.000317172,0.000443854,0.000863897,0.000590837,0.000635805,0.000520283,0.001306781,0.001185451,0.000358825,0.001045596,0.000343744,0.000299549,0.00046431,0.000816328,0.000675923,0.000429898,0.000604255,0.000456953,0.000762938,0.000929614,0.000415742,0.000285309,0.000901583,0.001440431,0.001676493,0.000602519
RS,0.000173641,0.000493009,0.000761486,0.000508351,0.001003386,0.000133053,0.000354334,0.00032092,0.000356513,0.00060384,0.000324549,0.000560665,0.000235129,0.000831994,0.000502926,0.000914042,0.000848172,0.001036076,0.000811568,0.00052333,0.001411455,0.001453201,0.000697189,0.001490874,0.000682445,0.000636198,0.000553775,0.000754848,0.000651379,0.000441408,0.00074246,0.000344239,0.001228544,0.001038533,0.000233075,0.000342923,0.000718131,0.001437687,0.002007947,0.000757273
AA,0.000140542,0.000489443,0.000991532,0.00058718,0.000941095,0.000273427,0.000261788,0.000392889,0.00048182,0.000665413,0.000806287,0.001069843,0.00025283,0.001059305,0.000764776,0.001167019,0.001506821,0.001422806,0.001196032,0.000480441,0.001646439,0.001567681,0.00152879,0.002216149,0.000877093,0.000607839,0.000922122,0.0007748,0.00121234,0.000712394,0.00094382,0.000770149,0.001401395,0.001524363,0.00056322,0.00054638,0.001317398,0.002391834,0.002466707,0.001315792
TeAA,0.0002686,0.000604038,0.000387901,0.000346585,0.000736936,0.000200272,0.000114779,0.000255577,0.000327109,0.000534361,0.000412159,0.000731384,0.000358905,0.000482405,0.000536108,0.000641275,0.000955578,0.00099787,0.000687794,0.00073363,0.001583903,0.00115058,0.000710801,0.001397941,0.000397672,0.000490454,0.000520933,0.000625704,0.000430433,0.000208374,0.00067634,0.000603412,0.000678328,0.001108165,0.000436981,0.000331907,0.00068095,0.00110243,0.002095921,0.000683663
Prh,0.000171089,0.000491587,0.000445325,0.000327594,0.000508085,0.000162666,0.00017697,0.000198859,0.000339855,0.000489224,0.000494653,0.000629575,0.000301814,0.000399636,0.00035182,0.000605465,0.000669975,0.000610011,0.000606042,0.000505503,0.001074156,0.000910196,0.000567256,0.001261099,0.000316173,0.000209903,0.000519166,0.00082231,0.000496575,0.000312964,0.000501567,0.000443928,0.000547974,0.001032383,0.000273616,0.000213967,0.000736101,0.000943752,0.001870305,0.000440681
Ech,0.000292995,0.000624232,0.000515356,0.000435463,0.000758609,0.000270505,0.000121987,0.000288264,0.000476876,0.000609312,0.00056052,0.000718331,0.000378016,0.000603099,0.000544011,0.000768822,0.000862148,0.00104195,0.000822138,0.000762485,0.001353559,0.000992168,0.000805164,0.001307645,0.000456,0.000448533,0.0006914,0.001055125,0.000587533,0.000427005,0.000680916,0.000540608,0.000725223,0.001278251,0.000396964,0.000410393,0.00095785,0.001206409,0.002142363,0.000756216
aOn,0.000570638,0.000984047,0.000936914,0.000783141,0.000916916,0.000391612,0.000719878,NA,0.001111142,0.001592853,0.001033906,NA,0.000618976,0.000771083,0.000568021,0.001035202,0.001788955,0.00147149,0.001148031,0.001476256,0.001895968,0.001803179,0.000914609,0.002282574,0.001116872,0.000763146,0.001290192,0.001638846,0.000978247,0.000858859,0.000870975,0.001198294,0.001361252,0.00163398,0.000897417,0.000382913,0.001517844,0.001947079,0.002136929,0.001297629
TT,0.000404652,0.000539748,0.00047441,0.000440869,0.000776065,0.000251563,0.000374341,NA,0.000779909,0.001114953,0.000470895,0.000591934,0.000474749,0.000622802,0.000543098,0.000696278,0.000765929,0.000793097,0.000815107,0.000870743,0.001151798,0.000987486,0.00041786,0.001367638,0.000529119,0.000360898,0.000773547,0.000868166,0.000722974,0.000711426,0.000614091,0.000454622,0.000739667,0.001083316,0.000527575,0.000249025,0.000953241,0.001251029,0.001590402,0.000693811
DPA,0.000524498,0.000600479,0.000499769,0.000452111,0.00083377,0.000400282,0.000632487,NA,0.001121659,0.000944761,0.000755538,0.000731493,0.000381032,0.000675112,0.00066381,0.00085248,0.001235307,0.001346543,0.0010332,0.001041468,0.001586157,0.001340774,0.000569144,0.001435958,0.000703341,0.000619057,0.00080032,0.001230252,0.000738924,0.000885757,0.000852282,0.000467269,0.00099368,0.001434203,0.000838753,0.000501319,0.001226603,0.001592417,0.001747679,0.001112418
PC,0.000188581,0.000539194,0.000727076,0.000419271,0.000743202,0.000233286,0.000309862,0.000350513,0.000570465,0.000689634,0.000517163,0.000670492,0.000419479,0.000544976,0.000461293,0.000699737,0.000832985,0.000872648,0.000758757,0.000553916,0.001224682,0.001024746,0.000505749,0.001334871,0.000566751,0.000455839,0.000499226,0.000884047,0.00066734,0.000593028,0.00072654,0.000510139,0.000962329,0.000892465,0.000491573,0.000337241,0.000897228,0.001348501,0.001750756,0.000780225
CCA,0.00015639,0.000391796,0.000463495,0.000356276,0.000485203,0.000194813,0.000182611,0.000393544,0.000291731,0.000529704,0.000359707,0.000422026,0.000303233,0.00036197,0.000397766,0.000415446,0.000461337,0.000448651,0.000444373,0.000392027,0.000699045,0.00072539,NA,0.000670873,0.000314147,0.000220147,0.000266267,0.000586953,0.000360916,0.000236606,0.000358595,0.000372701,0.000582361,0.000426944,0.000223942,0.000172061,0.000495766,0.000805936,0.001682904,0.000583398
PAA,0.000142601,0.000379546,0.000330538,0.000365329,0.000361654,0.000164799,0.000136177,0.000326559,0.000379396,0.000486965,0.000402719,0.00044564,0.000334499,0.000282817,0.000258757,0.000350273,0.000429215,0.000472959,0.000560835,0.000277385,0.00063891,0.000298896,NA,0.000976475,0.000318699,0.000352884,0.000146268,0.000652625,0.000438441,0.000215225,0.000280397,0.000263437,0.000477576,0.000475497,0.000271614,0.000176947,0.00049889,0.000666411,0.0015225,0.000351285
CA1,0.000173846,0.000349161,0.000296262,0.000187312,0.000495989,0.000180781,0.000175957,0.000263713,0.00026675,0.000312485,0.000242878,0.000226775,0.000202935,0.000483629,0.000288383,0.000319693,0.000442504,0.000580734,0.000526941,0.000361504,0.000553533,0.000610595,0.000416278,0.000825394,0.000296318,0.000252527,0.000262659,0.000383643,0.000265606,0.000226476,0.000342647,0.000421518,0.000497239,0.000460805,0.000253561,0.000262288,0.000374619,0.000671507,0.001569249,0.0003775
CA2,9.40E-05,0.000207278,0.000176331,0.000102414,0.000267024,0.000163057,9.36E-05,0.00026865,0.000250174,0.000234162,0.000126025,0.000173796,0.000192296,0.000356997,0.000130927,0.00017082,0.000293514,0.000285633,0.000291419,0.000184384,0.000318728,0.000350082,0.000265925,0.000596033,0.000157652,0.000117284,0.000156235,0.000337587,0.000141364,0.000167032,0.000185233,0.0002644,0.000244425,0.000324174,0.000200797,0.000122617,0.000200702,0.000412317,0.001415412,0.000172386
CA3,0.000148249,0.000328994,0.000226464,0.00024662,0.000360562,0.000148753,0.000127246,0.000236538,0.00025936,0.000304773,0.000220541,0.000234738,0.000192437,0.000435494,0.00022353,0.000315028,0.000366294,0.000419326,0.000385475,0.000289658,0.000395298,0.000445905,0.000477857,0.000692613,0.000273484,0.000208274,0.000195861,0.000402655,0.000215647,0.00019246,0.000288445,0.000304211,0.000422904,0.000362517,0.000254467,0.000208294,0.000284252,0.000518535,0.001395936,0.000345762
DG,0.000101519,0.000146155,0.000129182,0.000120284,0.000301171,0.000125991,0.000109304,0.000224053,0.000168585,0.000253119,0.00012243,0.000124295,0.000214937,0.000248035,0.000129975,0.000156243,0.000183241,0.000237655,0.000246599,0.000156401,0.000201064,0.000276934,0.000197799,0.000446678,0.000135133,0.000100386,0.00017419,0.000210264,0.000144591,0.000179541,0.000168121,0.000159774,0.00019442,0.000242478,0.000164413,0.000163716,0.000221047,0.000290271,0.001012703,0.000188733
FC,3.82E-05,0.000372891,0.000366255,0.000184021,0.000362486,6.22E-05,0.000139061,0.000332121,0.00032224,0.000267168,0.000216017,0.00022464,0.000119667,0.000346277,7.91E-05,0.000235581,0.000138438,0.000272897,0.000243251,0.000128472,0.000144244,NA,0.000247003,NA,0.000226327,0.000157575,0.000309373,0.000208152,0.000204751,0.0002066,0.000224779,0.000248078,0.000444611,0.000379924,NA,0.000217514,0.000334125,0.000571185,0.00118763,1.26E-05
IG,1.87E-05,5.21E-05,3.81E-05,4.58E-05,0.000132096,7.72E-05,6.71E-05,7.38E-05,0.000165866,0.000165614,6.18E-05,4.07E-05,9.74E-05,0.000226137,7.65E-05,7.55E-05,0.000180701,9.35E-05,0.000130051,0.000114599,0.000229327,1.00E-04,0.000130992,0.000199596,5.31E-05,2.57E-05,8.68E-05,0.000104269,9.85E-05,9.82E-05,6.89E-05,9.64E-05,0.000116646,0.000226854,7.48E-05,7.96E-05,0.000182343,0.00015761,0.000687652,5.55E-05
lpEC,0.000207279,0.000455113,0.000392456,0.000289888,0.000547702,0.000165167,0.000212453,0.000207308,0.000367316,0.000406132,0.000366713,0.000557884,0.000283057,0.000388709,0.000279291,0.00055487,0.00073312,0.000541323,0.000472436,0.000565566,0.000856414,0.000867833,0.000392015,0.001083173,0.000342854,0.000234528,0.000445513,0.000649112,0.000431392,0.000230517,0.000439743,0.000433003,0.000320193,0.000676307,0.000209016,0.000144898,0.000639429,0.000995945,0.002021462,0.000251871
Sub,9.52E-05,0.000320713,0.000177217,0.000157251,0.000327472,0.000117554,0.000392547,0.000144152,0.000216987,0.000406052,0.000177088,0.000194243,0.000254288,0.00029015,0.000126628,0.000334626,0.000369923,0.000337975,0.00025255,0.000304373,0.000438536,0.00071893,0.000450828,0.001268369,0.000181418,0.000169834,0.000335572,0.000291644,0.000271347,0.000226975,NA,0.000464334,0.000403693,0.000200869,0.000134849,0.000161958,0.000513559,0.000662494,0.00165672,0.00025935
proSub,0.000179067,0.000308976,0.000215211,0.000175357,0.000451965,0.000110021,0.000475081,0.000191001,0.000229341,0.000384337,0.000265663,0.000252328,0.000199553,0.000426877,NA,0.000420124,0.000557803,0.000548037,0.000234103,0.000525689,0.000539988,0.000734304,NA,0.001232157,0.000220548,0.000261152,0.000323431,0.000391038,0.000323581,0.000267713,NA,0.000436815,0.000688942,NA,0.000144118,0.000282918,0.000534334,0.000876841,0.001727622,0.000552181
Clst,0.000393994,0.000661742,0.000480443,0.000531646,0.000832885,0.000381392,0.000410022,0.000389801,0.000745336,0.000847551,0.000747337,0.001016057,0.000390211,0.000858306,0.000719319,0.000799949,0.001332345,0.001130195,0.000934246,0.001049591,0.001657156,0.001459029,0.000434022,0.00160713,0.000732523,0.000652418,0.000724927,0.001339815,0.000957016,0.000746754,0.00097074,0.000790368,0.001278187,0.001438069,0.00074386,0.000593571,0.00134544,0.002103762,0.00205429,0.001076255
dEPn,0.000279954,0.000525048,0.000430917,0.000394812,0.00058377,0.000397915,0.000372728,0.000295248,0.000614027,0.000714974,0.000625584,0.000675625,0.000356853,0.000597951,0.000338417,0.000582561,0.000956118,0.000904017,0.0006894,0.00058198,0.001189231,0.001028644,0.000449609,0.001123642,0.000600154,0.000435845,0.000569391,0.000751483,0.000709617,0.000535581,0.000634705,0.000611109,0.000761798,0.000959455,0.000531981,0.000392969,0.000707344,0.001546764,0.001875838,0.000802725
vEPn,0.00025944,0.000458602,0.000429541,0.000310501,0.000482092,0.000253785,0.000159312,0.000249115,0.000315815,0.00053732,0.000437916,0.000404709,0.000295227,0.000418337,0.000264213,0.000505983,0.00056456,0.000568717,0.000434275,0.000311036,0.000725774,0.000539448,0.000155962,0.000659582,0.000302428,0.000238157,0.000315542,0.000575172,0.000446703,0.000241854,0.000447789,0.000555277,0.000449153,0.000518352,0.000315457,0.000243903,0.00045023,0.000977047,0.001601569,0.000519772
LAn,0.000217559,0.000556854,0.000220437,0.000229027,0.000811628,0.000196228,7.69E-05,0.000339688,0.000248728,0.000443171,0.000356986,0.000336784,0.000290667,0.00033116,0.000300102,0.000363221,0.000379806,0.000411526,0.000486379,0.00017991,0.000716062,0.000306164,0.000282829,0.001081939,0.000281822,0.00024292,0.000321265,0.000298481,0.00029316,0.000179449,0.000374566,0.000389222,0.000267858,0.000385331,0.000278104,0.000210278,0.000372051,0.000586922,0.001796232,0.000336789
BLA,0.000363429,0.000499623,0.000437036,0.000325719,0.000672961,0.000267652,0.00017169,0.000333186,0.000339882,0.000614132,0.0004467,0.000561058,0.000359412,0.000523391,0.000301222,0.00057068,0.000651807,0.000777437,0.000589012,0.00031793,0.000823253,0.000691459,0.000259989,0.00086876,0.000367225,0.000296377,0.000389117,0.000584168,0.000491171,0.000303004,0.000475697,0.000643418,0.000556391,0.000662675,0.000385779,0.000347718,0.000542585,0.001029384,0.002008779,0.000588119
BMe,0.000297672,0.000567734,0.000393861,0.000352159,0.000535764,0.000251839,0.000181989,0.000248248,0.000383855,0.000599327,0.000465201,0.000470653,0.000381302,0.000493383,0.000385578,0.000464554,0.000582808,0.000553431,0.000638225,0.000443098,0.000799829,0.000750602,0.000143346,0.00156572,0.000422435,0.000322233,0.000459083,0.000728401,0.000566676,0.000290992,0.000539675,0.000711218,0.000598808,0.000719829,0.000430294,0.000319112,0.000529358,0.000963248,0.002036402,0.00065522
PAn,0.000292251,0.0006868,0.00034756,0.00037721,0.000522409,0.000204654,0.000330326,0.000152536,0.000236955,0.000502587,0.000453363,0.00027626,0.000365459,0.000393889,0.000277301,NA,0.000338109,0.000485917,0.000513251,0.000496129,0.000655844,0.001021483,NA,0.000781013,0.000332987,0.000231502,0.000379592,0.000642389,0.000409449,0.000276172,0.000265863,0.000460085,0.000393214,0.000399653,0.000405592,0.000136436,0.000409201,0.000905746,0.002120956,0.000284422
DLS,4.84E-05,0.00017155,0.000255613,0.000141993,0.000301194,6.75E-05,3.70E-05,0.000253829,0.000476885,0.000505547,0.000265987,0.000175852,0.000239536,0.000476022,0.000169768,0.000220334,0.000524424,0.000377181,0.000319677,0.000230001,0.000779453,0.000736842,0.000240443,0.000604217,0.000164857,0.000113233,0.000145866,0.000514251,0.000354312,0.000289091,0.000280468,0.000205619,0.000590629,0.000618672,0.000249349,0.000255962,0.000481291,0.00121643,0.00155629,0.000284921
DMS,6.88E-05,0.000265653,0.000257313,0.000218714,0.00041384,0.0001048,0.000114903,0.000248119,0.000529273,0.000638963,0.00041078,0.000229478,0.000245446,0.000563871,0.000422383,0.000486369,0.001212418,0.001120491,0.000929661,0.00084711,0.001426655,0.000947453,0.000700784,0.001496575,0.000505507,0.000293022,0.000304976,0.000831416,0.000322538,0.000526279,0.000582556,0.000391534,0.001324411,0.001300344,0.000682101,0.000475927,0.000748032,0.001888633,0.001886941,0.000969881
NACC SHELL,0.000147208,0.000449812,0.000374011,0.000416946,0.000567067,0.000239917,0.000272695,0.000222118,0.000635061,0.000747897,0.000585877,0.00051429,0.000611367,0.000584461,0.000361737,0.000568379,0.001025224,0.000901953,0.000633474,0.000725732,0.001129049,0.001163451,0.000466764,0.001557085,0.000609669,0.000334648,0.000610513,0.000879107,0.00061512,0.000520772,0.000472674,0.000571686,0.000868359,0.001020545,0.000486954,0.000433164,0.001073853,0.001595903,0.00204858,0.000884381
