"","lower","r","upper","p"
"PAn-MDT",-0.869972178441101,-0.33901854314498,0.555982187344896,0.456960159537329
"DLS-MDT",-0.494142962566754,0.323002343227199,0.83713429231642,0.435175919196048
"DMS-MDT",-0.479170961584121,0.340461937833718,0.842908947178679,0.409248954457028
"NACC.S-MDT",-0.856088952697628,-0.381653118601965,0.441851673057502,0.350852951832007
"NACC.C-MDT",-0.856756460113258,-0.383790635612597,0.439834030057074,0.347933226242523
"FStr-MDT",-0.853949974966103,-0.374837618951518,0.448229796900639,0.360236941044026
"OT-MDT",-0.885017663696976,-0.47919163413943,0.340438214020136,0.229583473016929
"LSN-MDT",-0.852366976175126,-0.369826780438767,0.452866218563862,0.367207834651518
"SFn-MDT",-0.947241536493103,-0.729519703691912,-0.051132709874409,0.0399778457047728
"aAA-MDT",-0.87122425022625,-0.431399800544941,0.392631412986706,0.285879740241107
"CA-MDT",-0.269623544762691,0.537095625972537,0.900826623711042,0.169856227676723
"IAn-MDT",-0.605797197787733,0.172524538662607,0.782113314283781,0.682878102683984
"MAn-MDT",-0.936788118255784,-0.682951309723576,0.0418735891364188,0.0619301022397912
"Gpe-MDT",-0.762574097911549,-0.12515527330686,0.635570898070314,0.767772862804028
"Gpi-MDT",-0.772046372147213,-0.147761799292468,0.62163844929942,0.72695291751064
"SbInn-MDT",-0.910511950552482,-0.574348658058076,0.218932285761995,0.136488943075016
"MGCn-MDT",-0.922621898572032,-0.62297241337368,0.14563158669463,0.0989555922468865
"MSn-MDT",-0.945069318485207,-0.719673747880247,-0.0304359357964178,0.0441426093185735
"DBn-MDT",-0.934448422571254,-0.672803451764975,0.0606006146017638,0.0674884817208964
"TnS-MDT",-0.947788056672086,-0.732011191071678,-0.0564640027813495,0.0389634690810443
"BNST-MDT",-0.816090667051049,-0.262206890831585,0.542750009919554,0.530431503915104
"VALCT-MDT",-0.132938491607363,0.630829368980643,0.924524790950621,0.0935277357153426
"VMT-MDT",0.0577728921432314,0.732620127625241,0.947921437474648,0.03871795670611
"VPLT-MDT",-0.151720488190334,0.61914756212623,0.921690240726895,0.101661764052388
"VPMT-MDT",-0.111594110746763,0.64369748103758,0.927610033437679,0.0850174656623849
"PTTn-MDT",-0.433504637486822,0.390439287037895,0.858822630993261,0.33892342207821
"MGC-MDT",-0.84783152735426,-0.35562399347674,0.465770327331745,0.387291041240277
"dLGC-MDT",-0.926690132994445,-0.639843833748806,0.118060112247001,0.0875167821718228
"LPT-MDT",-0.746792407369552,-0.0889054995419937,0.656923207131178,0.834178512641545
"PCT-MDT",-0.163807304944759,0.611445079549518,0.919803417883761,0.107238634988364
"PlnT-MDT",-0.586484305947849,0.201439433805438,0.793478893640662,0.63239415348147
"EnT-MDT",-0.349908566242036,0.470866407429136,0.882665058355043,0.238943268519752
"AVT-MDT",-0.418702785302818,0.405659326038252,0.863495807909836,0.318713183940469
"AMn-MDT",-0.25588843085674,0.547510261185884,0.903571251631197,0.160125639468572
"IADT-MDT",-0.231140602656312,0.565667397291435,0.908287421324903,0.143907308329945
"IMDT-MDT",0.174700245371293,0.782982867229384,0.958697493004194,0.0215734544928925
