"","lower","r","upper","p"
"Rh-MPO",-0.911576687439336,-0.505593364840265,0.399614406620032,0.247037010593792
"CMT-MPO",-0.901775395023549,-0.540683290930939,0.264928804235089,0.166469050895836
"PCn-MPO",-0.934146335220737,-0.610683816197683,0.26359771647014,0.145230770837827
"CLT-MPO",-0.91717492347704,-0.530583230793629,0.370519752669494,0.2204921650467
"RT-MPO",-0.322823087838389,0.494294204901389,0.889233206608366,0.213094803739572
"IGLLG-MPO",0.19245867077347,0.789992489789211,0.960158381202758,0.0196611248481883
"vlLGC-MPO",-0.221266346183583,0.572702603661224,0.910091647235077,0.137878828380096
"subGn-MPO",-0.464230557827149,0.357338896255687,0.848383005741686,0.384840903692022
"MHb-MPO",-0.077980566205765,0.663131991665363,0.932197340959139,0.0730505547184326
"LHb-MPO",-0.368274676561638,0.454293377697808,0.8779194829528,0.258141387545451
"SON-MPO",-0.85308424183851,-0.279732349953103,0.599643487024594,0.543471502772517
"PVH-MPO",-0.0629825134715125,0.671492650255344,0.934144546975839,0.0682271396183559
"IPVH-MPO",0.254230825330055,0.845430727602467,0.976678317945782,0.0165698511237666
"ArH-MPO",-0.898885180093105,-0.322824519952606,0.662237644016586,0.53258490700092
"ADPO-MPO",-0.311298852593651,0.577030214090086,0.927189791496495,0.174983695366222
"AVPO-MPO",-0.177906008646559,0.602270947187875,0.917537332246578,0.114103337728222
"AVPV-MPO",0.171844880325529,0.781841191387147,0.958458673044439,0.0218954357420229
"DMH-MPO",-0.565464874541927,0.326719528647254,0.866568237052146,0.474467047418202
"MePO-MPO",-0.51621007582079,0.296213119483898,0.828045353744114,0.476233223422142
"MPA-MPO",0.438565768517194,0.873337682277892,0.976843872760685,0.00460983889992835
"PSN-MPO",0.35623839781265,0.848029229959612,0.971906889524714,0.00780475744005129
"SPZ-MPO",-0.448744375878754,0.459640227267829,0.90087369799697,0.299435869974742
"SCN-MPO",-0.577355570273086,0.440699711595632,0.922370672120397,0.38174595215878
"AHN-MPO",0.0310702160341057,0.719979664809297,0.9451371109829,0.0440094328030561
"SMN-MPO",-0.599275366371862,0.413287973591709,0.917209406114266,0.415364268550108
"MPO-MPO",NA,1,NA,0
"VMHn-MPO",-0.8991558875416,-0.452478489046915,0.455936661861191,0.308005470730136
"PHn-MPO",-0.288889675326402,0.522060545391016,0.896812395811243,0.184451775980153
"LHA-MPO",-0.631908701956557,0.13117500940786,0.765123391416209,0.75685368446964
"LPO-MPO",-0.359550279511401,0.46223765288312,0.880204705960068,0.248845325386715
"PSTN-MPO",0.0565829186376709,0.732066559085402,0.947800187542676,0.0389411066470339
"STN-MPO",-0.414636704742323,0.492067185072704,0.908482422969339,0.261986318788472
"ZI-MPO",-0.529354624925622,0.279624274219248,0.822273438046258,0.502393100380382
"FF-MPO",-0.840645597516137,-0.238693767200574,0.627082616148867,0.606225162612896
"TN-MPO",-0.787531802701727,-0.0847138571249661,0.713886237160393,0.856700772168972
"reSN-MPO",-0.866461070815349,-0.326335265128791,0.565757394551805,0.475017896003239
"cSN-MPO",-0.929927924363084,-0.590136051715941,0.293239801841243,0.163069613751905
"VTA-MPO",-0.925102691415156,-0.567160153350876,0.324488450590344,0.184228626103587
"PAG-MPO",-0.842531550975161,-0.244780780225131,0.623144060912494,0.596784005581137
"SCO-MPO",-0.428412479698507,0.395726628332089,0.860454947054003,0.331836629490497
"PreCN-MPO",0.183020293260824,0.786286311671111,0.959387126868781,0.0206584497888092
"APTN-MPO",-0.950016981986849,-0.742232583335888,-0.0787465669373335,0.0349667500654791
"FP-VMHn",-0.304238027935238,0.582209458182118,0.928276353735033,0.170225893613691
"PL-VMHn",-0.885645050874959,-0.398089870782296,0.506941639293654,0.376433819617311
"IL-VMHn",-0.897795375177959,-0.446846959809484,0.461510092630207,0.314818142094458
"dACC-VMHn",-0.924347021356979,-0.563611702799338,0.329147079328287,0.187609079040852
"Vacc-VMHn",-0.970233432438146,-0.806270641525214,-0.135458973613417,0.0284980032087102
"OA-VMHn",-0.650570437098051,0.200923656070586,0.828607494949996,0.665744640400337
"AU-VMHn",-0.764377306467192,-0.0266723484078546,0.741274880913085,0.954735719843055
"M2-VMHn",-0.472666629230821,0.43535361249255,0.894991748447226,0.328921767709628
"M1-VMHn",-0.455667179477891,0.45274895657705,0.899221012795771,0.307679911465408
"S1-VMHn",-0.707911132164616,0.0966948060989089,0.792076437686621,0.836612132818044
"SS-VMHn",-0.611198651797398,0.262833191583211,0.848039895446992,0.569051490048951
"GA-VMHn",-0.783922231029824,-0.0753406381141752,0.718481129306561,0.872460451122259
"AuA-VMHn",-0.70294565679149,0.106477006535457,0.795730740910618,0.8202619501542
"RS-VMHn",-0.803262360526424,-0.127068241376615,0.692229112260206,0.786019553382846
"AA-VMHn",-0.759853501049602,-0.0158850199772861,0.746098171713721,0.973036154774051
"ViA-VMHn",-0.700492258244995,0.111253157026093,0.797496902461713,0.812297443615316
"TeAA-VMHn",-0.616905107344473,0.254285024621051,0.845447255504868,0.582132555908578
"Prh-VMHn",-0.571837941073783,0.318280339174272,0.864203137622317,0.486617802862295
"lpEC-VMHn",-0.0263189539627219,0.741434159279255,0.95902651899704,0.0564822841183498
"Ech-VMHn",-0.602449384971089,0.27567827933141,0.851883807653424,0.5495732886012
"VA-VMHn",-0.772167124033277,-0.0456592785244927,0.732588209749906,0.922567175059531
"aOn-VMHn",-0.761834148974696,-0.0205867943824821,0.744005673974622,0.965058177942404
"TT-VMHn",-0.802293952491585,-0.124387581975332,0.693645001999568,0.790462899803511
"DPA-VMHn",-0.882770722167582,-0.386945002931753,0.516665270231531,0.391154197113441
"PC-VMHn",-0.798404180290982,-0.113719054668601,0.699218028363951,0.808190410494705
"PAA-VMHn",-0.262680690932177,0.61130125823524,0.934271711223468,0.144710748225468
"FC-VMHn",-0.859602315467211,-0.302107793379208,0.583758023933786,0.510206667492183
"IG-VMHn",-0.958290642689771,-0.737314375983535,0.035398312706305,0.0586169954056471
"CA1-VMHn",-0.673324109934099,0.161749370611035,0.815476944630394,0.728983684312386
"CA2-VMHn",-0.540677438205728,0.358243740394829,0.875193569338734,0.430089381495684
"CA3-VMHn",-0.834940281650008,-0.220563119417347,0.638557351900942,0.63460145148236
"DG-VMHn",-0.939445040833694,-0.637125975825523,0.222857645933365,0.123806272925662
"proSb-VMHn",-0.619795779954591,0.38584782468999,0.911867641467315,0.449950494102609
"Sub-VMHn",0.539615075210298,0.919161379862854,0.988203135060061,0.00341530330510658
