"","lower","r","upper","p"
"Sub-MGCn",-0.909164850855193,-0.569082534293925,0.226367704609546,0.140963032831358
"Clst-MGCn",-0.880998618744147,-0.465013378555384,0.356467729265857,0.245637773748023
"dEPn-MGCn",-0.910068013399462,-0.572610126039562,0.221397207620376,0.137957146107709
"vEPn-MGCn",-0.915548605825813,-0.594287719730169,0.189919338134524,0.120274036101017
"LAn-MGCn",-0.707900393645114,-0.00643996707026995,0.701416036758342,0.987925395596449
"BLA-MGCn",-0.807871567131106,-0.239598556187144,0.559547617748362,0.567650030807328
"BMe-MGCn",-0.955524486016704,-0.767910355940121,-0.137809895081642,0.0260663313626671
"CCA-MGCn",0.311600542193979,0.833300328833077,0.968982613425438,0.0101813188611603
"PAn-MGCn",-0.982684885668453,-0.904019950925027,-0.549223429972733,0.00205439561383173
"aAA-MGCn",-0.0728674368737718,0.666003232489303,0.932867816427876,0.0713721975703908
"CA-MGCn",-0.498875179256626,0.317365706131154,0.835245212508578,0.443688692102169
"IAn-MGCn",-0.940403687051711,-0.698828045045658,0.0115157682432896,0.053797137469221
"MAn-MGCn",0.415737309672786,0.866547498889435,0.975530026379171,0.00536298840876253
"LSN-MGCn",-0.845211392174345,-0.347521328201253,0.47297885967908,0.398959855024758
"SFn-MGCn",-0.104887709353011,0.703757793164484,0.952185607492652,0.0776111976536008
"DLS-MGCn",0.146952377189554,0.771711939784696,0.956328898024462,0.0248833083978852
"DMS-MGCn",-0.270237641514219,0.536624171978857,0.900701687182994,0.170304079056324
"NACC.S-MGCn",-0.940368374099614,-0.698671818634726,0.0118210063285754,0.0538738504650146
"NACC.C-MGCn",-0.955337586469782,-0.767028972356848,-0.135705466097931,0.026345476238001
"FStr-MGCn",-0.627263053846111,0.138731176009144,0.768295460294953,0.743197358188534
"OT-MGCn",-0.484998245924655,0.333732978817995,0.840697009501046,0.419161196551037
"MGCn-MGCn",NA,1,NA,0
"Gpe-MGCn",0.545897192053839,0.903148054473527,0.982521032616829,0.00210946507642103
"Gpi-MGCn",0.487340481561099,0.887300527626089,0.979521262125869,0.00328288141517894
"SbInn-MGCn",0.710883247456556,0.943112986766501,0.98990723632884,0.000440822120723607
"MSn-MGCn",0.0935359496714269,0.748850458311564,0.951448897923471,0.0325186747332369
"DBn-MGCn",-0.0353944375004827,0.686398295339147,0.93757772564752,0.0601062422565512
"TnS-MGCn",-0.223029222877252,0.637018703458855,0.939423832781494,0.123889673420338
"BNST-MGCn",-0.910206154034024,-0.49957753117022,0.406356223134623,0.253636030412168
"VALCT-MGCn",0.0418291820643505,0.725128306687159,0.94627516958996,0.0418044694399035
"VMT-MGCn",-0.563103248319231,0.234699152114197,0.806060797582401,0.575832161828559
"VPLT-MGCn",0.241424480356428,0.808543676796927,0.963980304614121,0.015121995308491
"VPMT-MGCn",-0.140608372345575,0.626100408733299,0.923381225943429,0.0967735545472344
"PTTn-MGCn",-0.945057930264742,-0.665934299083422,0.174767457359966,0.10245499382825
"MGC-MGCn",-0.922009832601255,-0.620458006998464,0.149640917527319,0.100729879261443
"dLGC-MGCn",-0.951850172278543,-0.75071230110784,-0.0977495144415378,0.0318494807756619
"LPT-MGCn",-0.944902408548193,-0.718920931495829,-0.0288774259836756,0.0444713742388652
"PCT-MGCn",-0.201989691532223,0.586107879191615,0.913494475483179,0.126787282248702
"PlnT-MGCn",-0.953870301596098,-0.760134132231184,-0.119437319850451,0.0285929473526966
