"V1","V2"
"PAn","dLGC"
"PAn","LPT"
"PAn","PlnT"
"PAn","IGLLGC"
"aAA","VPMT"
"IAn","IGLLGC"
"IAn","PreCN"
"MAn","MGCn"
"MAn","Gpe"
"MAn","Gpi"
"MAn","SubInn"
"MAn","MSn"
"MAn","VALCT"
"MAn","VPLT"
"MAn","PCT"
"MAn","SMT"
"MAn","Rh"
"MAn","LHA"
"LSN","PVT"
"LSN","CLT"
"SFn","SubInn"
"SFn","MSn"
"SFn","TnS"
"SFn","AVT"
"SFn","LPO"
"DLS","DMS"
"DLS","MGCn"
"DMS","SON"
"DMS","TN"
"NACC.SHELL","NACC.CORE"
"NACC.SHELL","VTA"
"NACC.CORE","VTA"
"FStr","XiT"
"MGCn","Gpe"
"MGCn","Gpi"
"MGCn","SubInn"
"MGCn","MSn"
"MGCn","VPLT"
"MGCn","SMT"
"MGCn","Rh"
"MGCn","LHA"
"MGCn","STN"
"Gpe","Gpi"
"Gpe","SubInn"
"Gpe","VALCT"
"Gpe","VPLT"
"Gpe","PCT"
"Gpe","SMT"
"Gpe","Rh"
"Gpe","LHA"
"Gpi","SubInn"
"Gpi","VALCT"
"Gpi","VPLT"
"Gpi","SMT"
"Gpi","Rh"
"Gpi","AHN"
"Gpi","LHA"
"SubInn","MSn"
"SubInn","VALCT"
"SubInn","VPLT"
"SubInn","SMT"
"SubInn","Rh"
"SubInn","LHA"
"SubInn","LPO"
"MSn","TnS"
"MSn","MDT"
"MSn","SMT"
"MSn","CMT"
"MSn","MPA"
"MSn","PSN"
"MSn","LPO"
"DBn","SON"
"DBn","AVPO"
"DBn","VMHn"
"DBn","STN"
"TnS","AVT"
"TnS","LPO"
"BNST","pRE"
"BNST","PVT"
"BNST","PT"
"BNST","IGLLGC"
"BNST","PVH"
"BNST","ZI"
"VALCT","VPLT"
"VALCT","PCT"
"VALCT","SMT"
"VALCT","Rh"
"VALCT","LHA"
"VMT","RE"
"VMT","XiT"
"VMT","CLT"
"VMT","RT"
"VPLT","PCT"
"VPLT","SMT"
"VPLT","Rh"
"VPLT","LHA"
"VPMT","IMDT"
"PTTn","PlnT"
"PTTn","EnT"
"PTTn","vlLGC"
"MGC","dLGC"
"MGC","LPT"
"MGC","IGLLGC"
"dLGC","LPT"
"dLGC","IGLLGC"
"dLGC","vlLGC"
"dLGC","FF"
"dLGC","PreCN"
"LPT","PlnT"
"LPT","IGLLGC"
"LPT","PreCN"
"PCT","AVT"
"PCT","MDT"
"PCT","SMT"
"PCT","Rh"
"PCT","PCn"
"PCT","CLT"
"PCT","LHA"
"PlnT","EnT"
"AVT","MDT"
"AVT","SMT"
"AVT","MPA"
"AVT","AHN"
"AVT","LHA"
"AVT","LPO"
"IADT","CLT"
"IMDT","PCn"
"MDT","SMT"
"MDT","PCn"
"MDT","CLT"
"MDT","LPO"
"SMT","Rh"
"SMT","PCn"
"SMT","LHA"
"pRE","ZI"
"PT","MPO"
"RE","XiT"
"RE","IPVH"
"Rh","PCn"
"Rh","LHA"
"CMT","MPA"
"CMT","PSN"
"CLT","LHb"
"RT","LHb"
"RT","AHN"
"RT","LHA"
"IGLLGC","vlLGC"
"IGLLGC","PVH"
"IGLLGC","ZI"
"IGLLGC","PAG"
"IGLLGC","PreCN"
"vlLGC","APTN"
"MHb","SCO"
"LHb","AHN"
"LHb","LHA"
"SON","VMHn"
"SON","TN"
"PVH","ZI"
"PVH","PAG"
"PVH","PreCN"
"ArH","SCN"
"ArH","cSN"
"AVPO","AVPV"
"AVPO","STN"
"AVPV","VMHn"
"MPA","PSN"
"MPA","LPO"
"PSN","LPO"
"SPZ","FF"
"SCN","FF"
"SCN","cSN"
"AHN","LHA"
"LHA","LPO"
"ZI","PAG"
"ZI","PreCN"
"PAG","PreCN"
