"data.key.column","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","source","target","weight"
"55698",,"interacts with","SFn (interacts with) DMS","false","interacts with","SFn (interacts with) DMS","SFn","DMS","0.8975253"
"55695",,"interacts with","LSN (interacts with) Gpi","false","interacts with","LSN (interacts with) Gpi","LSN","Gpi","0.7929022"
"55692",,"interacts with","IAn (interacts with) AHN","false","interacts with","IAn (interacts with) AHN","IAn","AHN","0.8264775"
"55689",,"interacts with","IAn (interacts with) SPZ","false","interacts with","IAn (interacts with) SPZ","IAn","SPZ","0.7952723"
"55686",,"interacts with","IAn (interacts with) IPVH","false","interacts with","IAn (interacts with) IPVH","IAn","IPVH","0.8853641"
"55683",,"interacts with","IAn (interacts with) PTTn","false","interacts with","IAn (interacts with) PTTn","IAn","PTTn","0.8023982"
"55680",,"interacts with","CA (interacts with) MPO","false","interacts with","CA (interacts with) MPO","CA","MPO","0.7896963"
"55677",,"interacts with","CA (interacts with) AHN","false","interacts with","CA (interacts with) AHN","CA","AHN","0.7980989"
"55674",,"interacts with","CA (interacts with) SPZ","false","interacts with","CA (interacts with) SPZ","CA","SPZ","0.7970777"
"55671",,"interacts with","CA (interacts with) IPVH","false","interacts with","CA (interacts with) IPVH","CA","IPVH","0.8457553"
"55668",,"interacts with","aAA (interacts with) SubInn","false","interacts with","aAA (interacts with) SubInn","aAA","SubInn","0.8290725"
"55665",,"interacts with","PAn (interacts with) SMT","false","interacts with","PAn (interacts with) SMT","PAn","SMT","0.793748"
"55662",,"interacts with","PAn (interacts with) IMDT","false","interacts with","PAn (interacts with) IMDT","PAn","IMDT","0.8221306"
"55659",,"interacts with","BMe (interacts with) subGn","false","interacts with","BMe (interacts with) subGn","BMe","subGn","0.8927488"
"55656",,"interacts with","BMe (interacts with) IAn","false","interacts with","BMe (interacts with) IAn","BMe","IAn","0.7518753"
"55653",,"interacts with","BMe (interacts with) CCA","false","interacts with","BMe (interacts with) CCA","BMe","CCA","0.7739976"
"55650",,"interacts with","BLA (interacts with) subGn","false","interacts with","BLA (interacts with) subGn","BLA","subGn","0.8674664"
"55647",,"interacts with","BLA (interacts with) RE","false","interacts with","BLA (interacts with) RE","BLA","RE","0.752106"
"55644",,"interacts with","BLA (interacts with) IAn","false","interacts with","BLA (interacts with) IAn","BLA","IAn","0.8140027"
"55641",,"interacts with","BLA (interacts with) BMe","false","interacts with","BLA (interacts with) BMe","BLA","BMe","0.9631806"
"55638",,"interacts with","LAn (interacts with) PreCN","false","interacts with","LAn (interacts with) PreCN","LAn","PreCN","0.7862325"
"55635",,"interacts with","LAn (interacts with) DMH","false","interacts with","LAn (interacts with) DMH","LAn","DMH","0.812299"
"55632",,"interacts with","LAn (interacts with) IPVH","false","interacts with","LAn (interacts with) IPVH","LAn","IPVH","0.8050688"
"55629",,"interacts with","LAn (interacts with) PVT","false","interacts with","LAn (interacts with) PVT","LAn","PVT","0.7695395"
"55626",,"interacts with","LAn (interacts with) IAn","false","interacts with","LAn (interacts with) IAn","LAn","IAn","0.802217"
"55623",,"interacts with","vEPn (interacts with) subGn","false","interacts with","vEPn (interacts with) subGn","vEPn","subGn","0.8131939"
"55620",,"interacts with","vEPn (interacts with) RE","false","interacts with","vEPn (interacts with) RE","vEPn","RE","0.7485026"
"55617",,"interacts with","vEPn (interacts with) IAn","false","interacts with","vEPn (interacts with) IAn","vEPn","IAn","0.7608087"
"55614",,"interacts with","vEPn (interacts with) CCA","false","interacts with","vEPn (interacts with) CCA","vEPn","CCA","0.7754837"
"55611",,"interacts with","vEPn (interacts with) BMe","false","interacts with","vEPn (interacts with) BMe","vEPn","BMe","0.9843559"
"55608",,"interacts with","vEPn (interacts with) BLA","false","interacts with","vEPn (interacts with) BLA","vEPn","BLA","0.9632928"
"55605",,"interacts with","Clst (interacts with) TnS","false","interacts with","Clst (interacts with) TnS","Clst","TnS","0.8408334"
"55602",,"interacts with","Clst (interacts with) DLS","false","interacts with","Clst (interacts with) DLS","Clst","DLS","0.7832087"
"55599",,"interacts with","Sub (interacts with) PAG","false","interacts with","Sub (interacts with) PAG","Sub","PAG","0.8475149"
"55596",,"interacts with","Sub (interacts with) PHn","false","interacts with","Sub (interacts with) PHn","Sub","PHn","0.8301458"
"55593",,"interacts with","Sub (interacts with) BLA","false","interacts with","Sub (interacts with) BLA","Sub","BLA","0.8470161"
"55590",,"interacts with","Sub (interacts with) LAn","false","interacts with","Sub (interacts with) LAn","Sub","LAn","0.8017861"
"55587",,"interacts with","proSub (interacts with) PAG","false","interacts with","proSub (interacts with) PAG","proSub","PAG","0.7858506"
"55584",,"interacts with","proSub (interacts with) BLA","false","interacts with","proSub (interacts with) BLA","proSub","BLA","0.791464"
"55581",,"interacts with","proSub (interacts with) LAn","false","interacts with","proSub (interacts with) LAn","proSub","LAn","0.8209455"
"55578",,"interacts with","proSub (interacts with) Sub","false","interacts with","proSub (interacts with) Sub","proSub","Sub","0.9343751"
"55575",,"interacts with","DG (interacts with) DMH","false","interacts with","DG (interacts with) DMH","DG","DMH","0.8226746"
"55572",,"interacts with","CA3 (interacts with) PreCN","false","interacts with","CA3 (interacts with) PreCN","CA3","PreCN","0.791023"
"55569",,"interacts with","CA3 (interacts with) MePO","false","interacts with","CA3 (interacts with) MePO","CA3","MePO","0.7857447"
"55566",,"interacts with","CA3 (interacts with) MHb","false","interacts with","CA3 (interacts with) MHb","CA3","MHb","0.8015959"
"55563",,"interacts with","CA3 (interacts with) PVT","false","interacts with","CA3 (interacts with) PVT","CA3","PVT","0.9568421"
"55560",,"interacts with","CA3 (interacts with) pRE","false","interacts with","CA3 (interacts with) pRE","CA3","pRE","0.7837754"
"55557",,"interacts with","CA3 (interacts with) LAn","false","interacts with","CA3 (interacts with) LAn","CA3","LAn","0.7863412"
"55554",,"interacts with","CA2 (interacts with) PVT","false","interacts with","CA2 (interacts with) PVT","CA2","PVT","0.8422976"
"55551",,"interacts with","CA2 (interacts with) CA3","false","interacts with","CA2 (interacts with) CA3","CA2","CA3","0.8025907"
"55548",,"interacts with","CA1 (interacts with) IGLLGC","false","interacts with","CA1 (interacts with) IGLLGC","CA1","IGLLGC","0.8052747"
"55545",,"interacts with","CA1 (interacts with) PVT","false","interacts with","CA1 (interacts with) PVT","CA1","PVT","0.8564663"
"55542",,"interacts with","CA1 (interacts with) pRE","false","interacts with","CA1 (interacts with) pRE","CA1","pRE","0.7541335"
"55539",,"interacts with","CA1 (interacts with) BLA","false","interacts with","CA1 (interacts with) BLA","CA1","BLA","0.8106533"
"55536",,"interacts with","CA1 (interacts with) LAn","false","interacts with","CA1 (interacts with) LAn","CA1","LAn","0.9062537"
"55533",,"interacts with","CA1 (interacts with) Sub","false","interacts with","CA1 (interacts with) Sub","CA1","Sub","0.7864971"
"55530",,"interacts with","CA1 (interacts with) proSub","false","interacts with","CA1 (interacts with) proSub","CA1","proSub","0.8452893"
"55527",,"interacts with","CA1 (interacts with) CA3","false","interacts with","CA1 (interacts with) CA3","CA1","CA3","0.8846955"
"55524",,"interacts with","CA1 (interacts with) CA2","false","interacts with","CA1 (interacts with) CA2","CA1","CA2","0.8536096"
"55521",,"interacts with","IG (interacts with) PAG","false","interacts with","IG (interacts with) PAG","IG","PAG","0.7965401"
"55518",,"interacts with","IG (interacts with) SMN","false","interacts with","IG (interacts with) SMN","IG","SMN","0.8332891"
"55515",,"interacts with","IG (interacts with) DMH","false","interacts with","IG (interacts with) DMH","IG","DMH","0.8972043"
"55512",,"interacts with","IG (interacts with) LPT","false","interacts with","IG (interacts with) LPT","IG","LPT","0.7437392"
"55509",,"interacts with","IG (interacts with) DG","false","interacts with","IG (interacts with) DG","IG","DG","0.9050448"
"55506",,"interacts with","FC (interacts with) DMH","false","interacts with","FC (interacts with) DMH","FC","DMH","0.9655762"
"55503",,"interacts with","FC (interacts with) LPT","false","interacts with","FC (interacts with) LPT","FC","LPT","0.7846612"
"55500",,"interacts with","FC (interacts with) LAn","false","interacts with","FC (interacts with) LAn","FC","LAn","0.7629774"
"55497",,"interacts with","FC (interacts with) DG","false","interacts with","FC (interacts with) DG","FC","DG","0.9224417"
"55494",,"interacts with","FC (interacts with) IG","false","interacts with","FC (interacts with) IG","FC","IG","0.9365658"
"55491",,"interacts with","PC (interacts with) DMS","false","interacts with","PC (interacts with) DMS","PC","DMS","0.7839898"
"55488",,"interacts with","PC (interacts with) SFn","false","interacts with","PC (interacts with) SFn","PC","SFn","0.871401"
"55485",,"interacts with","PC (interacts with) Clst","false","interacts with","PC (interacts with) Clst","PC","Clst","0.7740627"
"55482",,"interacts with","DPA (interacts with) SFn","false","interacts with","DPA (interacts with) SFn","DPA","SFn","0.7796584"
"55479",,"interacts with","aOn (interacts with) NACC.SHELL","false","interacts with","aOn (interacts with) NACC.SHELL","aOn","NACC.SHELL","0.7872815"
"55476",,"interacts with","aOn (interacts with) PAn","false","interacts with","aOn (interacts with) PAn","aOn","PAn","0.789375"
"55473",,"interacts with","VA (interacts with) PCn","false","interacts with","VA (interacts with) PCn","VA","PCn","0.8754626"
"55470",,"interacts with","Ech (interacts with) VTA","false","interacts with","Ech (interacts with) VTA","Ech","VTA","0.8375761"
"55467",,"interacts with","Ech (interacts with) reSN","false","interacts with","Ech (interacts with) reSN","Ech","reSN","0.7718128"
"55464",,"interacts with","lpEC (interacts with) CCA","false","interacts with","lpEC (interacts with) CCA","lpEC","CCA","0.8109707"
"55461",,"interacts with","lpEC (interacts with) BMe","false","interacts with","lpEC (interacts with) BMe","lpEC","BMe","0.7360577"
"55458",,"interacts with","lpEC (interacts with) Ech","false","interacts with","lpEC (interacts with) Ech","lpEC","Ech","0.7337139"
"55455",,"interacts with","Prh (interacts with) VTA","false","interacts with","Prh (interacts with) VTA","Prh","VTA","0.7769921"
"55452",,"interacts with","Prh (interacts with) MGC","false","interacts with","Prh (interacts with) MGC","Prh","MGC","0.7310849"
"55449",,"interacts with","Prh (interacts with) Ech","false","interacts with","Prh (interacts with) Ech","Prh","Ech","0.8411224"
"55446",,"interacts with","Prh (interacts with) lpEC","false","interacts with","Prh (interacts with) lpEC","Prh","lpEC","0.811046"
"55443",,"interacts with","TeAA (interacts with) PreCN","false","interacts with","TeAA (interacts with) PreCN","TeAA","PreCN","0.8952038"
"55440",,"interacts with","TeAA (interacts with) PVT","false","interacts with","TeAA (interacts with) PVT","TeAA","PVT","0.8179376"
"55437",,"interacts with","TeAA (interacts with) pRE","false","interacts with","TeAA (interacts with) pRE","TeAA","pRE","0.7697527"
"55434",,"interacts with","TeAA (interacts with) CCA","false","interacts with","TeAA (interacts with) CCA","TeAA","CCA","0.7476189"
"55431",,"interacts with","TeAA (interacts with) LAn","false","interacts with","TeAA (interacts with) LAn","TeAA","LAn","0.8938071"
"55428",,"interacts with","TeAA (interacts with) CA3","false","interacts with","TeAA (interacts with) CA3","TeAA","CA3","0.8713602"
"55425",,"interacts with","TeAA (interacts with) CA2","false","interacts with","TeAA (interacts with) CA2","TeAA","CA2","0.7817916"
"55422",,"interacts with","TeAA (interacts with) CA1","false","interacts with","TeAA (interacts with) CA1","TeAA","CA1","0.8601899"
"55419",,"interacts with","TeAA (interacts with) lpEC","false","interacts with","TeAA (interacts with) lpEC","TeAA","lpEC","0.7316282"
"55416",,"interacts with","ViA (interacts with) subGn","false","interacts with","ViA (interacts with) subGn","ViA","subGn","0.7833309"
"55413",,"interacts with","ViA (interacts with) BMe","false","interacts with","ViA (interacts with) BMe","ViA","BMe","0.7359567"
"55410",,"interacts with","ViA (interacts with) BLA","false","interacts with","ViA (interacts with) BLA","ViA","BLA","0.8604534"
"55407",,"interacts with","ViA (interacts with) vEPn","false","interacts with","ViA (interacts with) vEPn","ViA","vEPn","0.7703872"
"55404",,"interacts with","ViA (interacts with) Sub","false","interacts with","ViA (interacts with) Sub","ViA","Sub","0.818711"
"55401",,"interacts with","ViA (interacts with) proSub","false","interacts with","ViA (interacts with) proSub","ViA","proSub","0.8546145"
"55398",,"interacts with","ViA (interacts with) CA2","false","interacts with","ViA (interacts with) CA2","ViA","CA2","0.8021767"
"55395",,"interacts with","ViA (interacts with) CA1","false","interacts with","ViA (interacts with) CA1","ViA","CA1","0.8225758"
"55392",,"interacts with","AA (interacts with) PlnT","false","interacts with","AA (interacts with) PlnT","AA","PlnT","0.8393879"
"55389",,"interacts with","AA (interacts with) dEPn","false","interacts with","AA (interacts with) dEPn","AA","dEPn","0.7538144"
"55386",,"interacts with","RS (interacts with) SCO","false","interacts with","RS (interacts with) SCO","RS","SCO","0.7773947"
"55383",,"interacts with","RS (interacts with) MHb","false","interacts with","RS (interacts with) MHb","RS","MHb","0.7510332"
"55380",,"interacts with","AuA (interacts with) PreCN","false","interacts with","AuA (interacts with) PreCN","AuA","PreCN","0.9807585"
"55377",,"interacts with","AuA (interacts with) pRE","false","interacts with","AuA (interacts with) pRE","AuA","pRE","0.8573271"
"55374",,"interacts with","AuA (interacts with) CCA","false","interacts with","AuA (interacts with) CCA","AuA","CCA","0.7634219"
"55371",,"interacts with","AuA (interacts with) LAn","false","interacts with","AuA (interacts with) LAn","AuA","LAn","0.7857837"
"55368",,"interacts with","AuA (interacts with) CA3","false","interacts with","AuA (interacts with) CA3","AuA","CA3","0.8035352"
"55365",,"interacts with","AuA (interacts with) CA1","false","interacts with","AuA (interacts with) CA1","AuA","CA1","0.7505661"
"55362",,"interacts with","AuA (interacts with) TeAA","false","interacts with","AuA (interacts with) TeAA","AuA","TeAA","0.9343942"
"55359",,"interacts with","GA (interacts with) PCn","false","interacts with","GA (interacts with) PCn","GA","PCn","0.826883"
"55356",,"interacts with","SS (interacts with) PCn","false","interacts with","SS (interacts with) PCn","SS","PCn","0.8920545"
"55353",,"interacts with","SS (interacts with) SubInn","false","interacts with","SS (interacts with) SubInn","SS","SubInn","0.7804018"
"55350",,"interacts with","SS (interacts with) DLS","false","interacts with","SS (interacts with) DLS","SS","DLS","0.7620941"
"55347",,"interacts with","SS (interacts with) VA","false","interacts with","SS (interacts with) VA","SS","VA","0.9031848"
"55344",,"interacts with","SS (interacts with) GA","false","interacts with","SS (interacts with) GA","SS","GA","0.8318171"
"55341",,"interacts with","S1 (interacts with) PCn","false","interacts with","S1 (interacts with) PCn","S1","PCn","0.8186352"
"55338",,"interacts with","S1 (interacts with) SubInn","false","interacts with","S1 (interacts with) SubInn","S1","SubInn","0.773075"
"55335",,"interacts with","S1 (interacts with) DLS","false","interacts with","S1 (interacts with) DLS","S1","DLS","0.8568439"
"55332",,"interacts with","S1 (interacts with) VA","false","interacts with","S1 (interacts with) VA","S1","VA","0.7685183"
"55329",,"interacts with","S1 (interacts with) GA","false","interacts with","S1 (interacts with) GA","S1","GA","0.8304648"
"55326",,"interacts with","S1 (interacts with) SS","false","interacts with","S1 (interacts with) SS","S1","SS","0.9464504"
"55323",,"interacts with","M1 (interacts with) Gpe","false","interacts with","M1 (interacts with) Gpe","M1","Gpe","0.7487027"
"55320",,"interacts with","M1 (interacts with) DLS","false","interacts with","M1 (interacts with) DLS","M1","DLS","0.8791426"
"55317",,"interacts with","M1 (interacts with) S1","false","interacts with","M1 (interacts with) S1","M1","S1","0.7912082"
"55314",,"interacts with","M2 (interacts with) Gpi","false","interacts with","M2 (interacts with) Gpi","M2","Gpi","0.8665047"
"55311",,"interacts with","M2 (interacts with) Gpe","false","interacts with","M2 (interacts with) Gpe","M2","Gpe","0.9015986"
"55308",,"interacts with","M2 (interacts with) DLS","false","interacts with","M2 (interacts with) DLS","M2","DLS","0.867057"
"55305",,"interacts with","M2 (interacts with) S1","false","interacts with","M2 (interacts with) S1","M2","S1","0.8067078"
"55302",,"interacts with","M2 (interacts with) M1","false","interacts with","M2 (interacts with) M1","M2","M1","0.9465345"
"55299",,"interacts with","AU (interacts with) DLS","false","interacts with","AU (interacts with) DLS","AU","DLS","0.8107846"
"55296",,"interacts with","AU (interacts with) VA","false","interacts with","AU (interacts with) VA","AU","VA","0.773421"
"55293",,"interacts with","OA (interacts with) DLS","false","interacts with","OA (interacts with) DLS","OA","DLS","0.9454556"
"55290",,"interacts with","OA (interacts with) Clst","false","interacts with","OA (interacts with) Clst","OA","Clst","0.7370107"
"55287",,"interacts with","OA (interacts with) VA","false","interacts with","OA (interacts with) VA","OA","VA","0.7683345"
