"data.key.column","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","source","target","weight"
"7918",,"interacts with","S1 (interacts with) CLT","false","interacts with","S1 (interacts with) CLT","S1","CLT","-0.7337417"
"7921",,"interacts with","S1 (interacts with) subGn","false","interacts with","S1 (interacts with) subGn","S1","subGn","0.9025168"
"7924",,"interacts with","S1 (interacts with) AHN","false","interacts with","S1 (interacts with) AHN","S1","AHN","-0.7569755"
"7927",,"interacts with","SS (interacts with) GA","false","interacts with","SS (interacts with) GA","SS","GA","0.956173"
"7930",,"interacts with","SS (interacts with) AuA","false","interacts with","SS (interacts with) AuA","SS","AuA","0.8606744"
"7933",,"interacts with","SS (interacts with) ViA","false","interacts with","SS (interacts with) ViA","SS","ViA","0.8058301"
"7936",,"interacts with","SS (interacts with) VA","false","interacts with","SS (interacts with) VA","SS","VA","0.9027958"
"7939",,"interacts with","SS (interacts with) DPA","false","interacts with","SS (interacts with) DPA","SS","DPA","-0.8173748"
"7942",,"interacts with","SS (interacts with) CA2","false","interacts with","SS (interacts with) CA2","SS","CA2","-0.7733615"
"7945",,"interacts with","SS (interacts with) DG","false","interacts with","SS (interacts with) DG","SS","DG","-0.856439"
"7948",,"interacts with","SS (interacts with) VMT","false","interacts with","SS (interacts with) VMT","SS","VMT","-0.827382"
"7951",,"interacts with","SS (interacts with) IADT","false","interacts with","SS (interacts with) IADT","SS","IADT","-0.7528042"
"7954",,"interacts with","SS (interacts with) PT","false","interacts with","SS (interacts with) PT","SS","PT","-0.8266207"
"7957",,"interacts with","SS (interacts with) RE","false","interacts with","SS (interacts with) RE","SS","RE","-0.7915654"
"7960",,"interacts with","SS (interacts with) CLT","false","interacts with","SS (interacts with) CLT","SS","CLT","-0.7489286"
"7963",,"interacts with","SS (interacts with) RT","false","interacts with","SS (interacts with) RT","SS","RT","-0.7852151"
"7966",,"interacts with","SS (interacts with) subGn","false","interacts with","SS (interacts with) subGn","SS","subGn","0.9339883"
"7969",,"interacts with","SS (interacts with) AHN","false","interacts with","SS (interacts with) AHN","SS","AHN","-0.823231"
"7972",,"interacts with","GA (interacts with) AuA","false","interacts with","GA (interacts with) AuA","GA","AuA","0.7447069"
"7975",,"interacts with","GA (interacts with) ViA","false","interacts with","GA (interacts with) ViA","GA","ViA","0.7880739"
"7978",,"interacts with","GA (interacts with) VA","false","interacts with","GA (interacts with) VA","GA","VA","0.9414457"
"7981",,"interacts with","GA (interacts with) DG","false","interacts with","GA (interacts with) DG","GA","DG","-0.7437846"
"7984",,"interacts with","GA (interacts with) VMT","false","interacts with","GA (interacts with) VMT","GA","VMT","-0.7527399"
"7987",,"interacts with","GA (interacts with) PT","false","interacts with","GA (interacts with) PT","GA","PT","-0.9170811"
"7990",,"interacts with","GA (interacts with) RT","false","interacts with","GA (interacts with) RT","GA","RT","-0.7313398"
"7993",,"interacts with","GA (interacts with) subGn","false","interacts with","GA (interacts with) subGn","GA","subGn","0.8761882"
"7996",,"interacts with","GA (interacts with) AHN","false","interacts with","GA (interacts with) AHN","GA","AHN","-0.742496"
"7999",,"interacts with","AuA (interacts with) TeAA","false","interacts with","AuA (interacts with) TeAA","AuA","TeAA","0.7800641"
"8002",,"interacts with","AuA (interacts with) VA","false","interacts with","AuA (interacts with) VA","AuA","VA","0.79081"
"8005",,"interacts with","AuA (interacts with) CA2","false","interacts with","AuA (interacts with) CA2","AuA","CA2","-0.8320659"
"8008",,"interacts with","AuA (interacts with) DG","false","interacts with","AuA (interacts with) DG","AuA","DG","-0.7642579"
"8011",,"interacts with","AuA (interacts with) VMT","false","interacts with","AuA (interacts with) VMT","AuA","VMT","-0.9321907"
"8014",,"interacts with","AuA (interacts with) RE","false","interacts with","AuA (interacts with) RE","AuA","RE","-0.9007592"
"8017",,"interacts with","AuA (interacts with) XiT","false","interacts with","AuA (interacts with) XiT","AuA","XiT","-0.8817169"
"8020",,"interacts with","AuA (interacts with) CLT","false","interacts with","AuA (interacts with) CLT","AuA","CLT","-0.7304294"
"8023",,"interacts with","AuA (interacts with) RT","false","interacts with","AuA (interacts with) RT","AuA","RT","-0.870167"
"8026",,"interacts with","AuA (interacts with) IPVH","false","interacts with","AuA (interacts with) IPVH","AuA","IPVH","-0.766088"
"8029",,"interacts with","AuA (interacts with) AHN","false","interacts with","AuA (interacts with) AHN","AuA","AHN","-0.8021119"
"8032",,"interacts with","RS (interacts with) AA","false","interacts with","RS (interacts with) AA","RS","AA","0.7298811"
"8035",,"interacts with","RS (interacts with) LSN","false","interacts with","RS (interacts with) LSN","RS","LSN","-0.736354"
"8038",,"interacts with","RS (interacts with) OT","false","interacts with","RS (interacts with) OT","RS","OT","0.739584"
"8041",,"interacts with","RS (interacts with) CLT","false","interacts with","RS (interacts with) CLT","RS","CLT","-0.8829253"
"8044",,"interacts with","RS (interacts with) ArH","false","interacts with","RS (interacts with) ArH","RS","ArH","0.7781514"
"8047",,"interacts with","RS (interacts with) VMHn","false","interacts with","RS (interacts with) VMHn","RS","VMHn","0.7424663"
"8050",,"interacts with","AA (interacts with) ViA","false","interacts with","AA (interacts with) ViA","AA","ViA","0.7512769"
"8053",,"interacts with","AA (interacts with) PC","false","interacts with","AA (interacts with) PC","AA","PC","0.9466321"
"8056",,"interacts with","AA (interacts with) LPT","false","interacts with","AA (interacts with) LPT","AA","LPT","-0.7845438"
"8059",,"interacts with","ViA (interacts with) Prh","false","interacts with","ViA (interacts with) Prh","ViA","Prh","0.7503435"
"8062",,"interacts with","ViA (interacts with) VA","false","interacts with","ViA (interacts with) VA","ViA","VA","0.8513299"
"8065",,"interacts with","ViA (interacts with) PC","false","interacts with","ViA (interacts with) PC","ViA","PC","0.8412511"
"8068",,"interacts with","ViA (interacts with) DMH","false","interacts with","ViA (interacts with) DMH","ViA","DMH","0.8338514"
"8071",,"interacts with","ViA (interacts with) AHN","false","interacts with","ViA (interacts with) AHN","ViA","AHN","-0.8776495"
"8074",,"interacts with","TeAA (interacts with) Ech","false","interacts with","TeAA (interacts with) Ech","TeAA","Ech","0.8978773"
"8077",,"interacts with","TeAA (interacts with) aAA","false","interacts with","TeAA (interacts with) aAA","TeAA","aAA","-0.8128174"
"8080",,"interacts with","TeAA (interacts with) VMT","false","interacts with","TeAA (interacts with) VMT","TeAA","VMT","-0.7534759"
"8083",,"interacts with","TeAA (interacts with) RE","false","interacts with","TeAA (interacts with) RE","TeAA","RE","-0.7699279"
"8086",,"interacts with","TeAA (interacts with) XiT","false","interacts with","TeAA (interacts with) XiT","TeAA","XiT","-0.8403514"
"8089",,"interacts with","TeAA (interacts with) SCO","false","interacts with","TeAA (interacts with) SCO","TeAA","SCO","0.8251244"
"8092",,"interacts with","Prh (interacts with) lpEC","false","interacts with","Prh (interacts with) lpEC","Prh","lpEC","0.8898022"
"8095",,"interacts with","Prh (interacts with) DPA","false","interacts with","Prh (interacts with) DPA","Prh","DPA","-0.7875434"
